"","grado","asistencia","GPA_pos","mean_pred","ci_h","ci_l","grade_treat","type","outcome"
"1","4",0.906692777329801,"D2",0.905434964326434,0.916843388791226,0.886224701793675,TRUE,"Estimated",0.905434964326434
"2","4",0.945977942550938,"D3D8",0.92733699014241,0.936226070540893,0.912556237950202,TRUE,"Estimated",0.92733699014241
"3","4",0.855158040986454,"D1",0.870947531930437,0.885742579801214,0.848901334658757,TRUE,"Estimated",0.870947531930437
"4","4",0.978821495461749,"D10",0.951535512974055,0.957240038590489,0.940991274398097,TRUE,"Estimated",0.951535512974055
"5","4",0.972171651495449,"D9",0.945769770080197,0.952356404431978,0.934008241047894,TRUE,"Estimated",0.945769770080197
"6","3",0.911002178649237,"D2",0.899503135254016,0.911256979718986,0.879626488452554,FALSE,"Estimated",0.899503135254016
"7","3",0.931393139313931,"D3D8",0.923065547484629,0.932487709882479,0.907304983971977,FALSE,"Estimated",0.923065547484629
"8","3",0.875949084412684,"D1",0.866316996782133,0.881500827577183,0.843754894956393,FALSE,"Estimated",0.866316996782133
"9","3",0.951603746806699,"D10",0.949461161464202,0.955692741687545,0.938361446508382,FALSE,"Estimated",0.949461161464202
"10","3",0.950152983171851,"D9",0.941271727991689,0.948623185565903,0.927921704968109,FALSE,"Estimated",0.941271727991689
"11","4",0.906692777329801,"D2",0.905434964326434,0,0,TRUE,"Obs",0.906692777329801
"12","4",0.945977942550938,"D3D8",0.92733699014241,0,0,TRUE,"Obs",0.945977942550938
"13","4",0.855158040986454,"D1",0.870947531930437,0,0,TRUE,"Obs",0.855158040986454
"14","4",0.978821495461749,"D10",0.951535512974055,0,0,TRUE,"Obs",0.978821495461749
"15","4",0.972171651495449,"D9",0.945769770080197,0,0,TRUE,"Obs",0.972171651495449
"16","3",0.911002178649237,"D2",0.899503135254016,0,0,FALSE,"Obs",0.911002178649237
"17","3",0.931393139313931,"D3D8",0.923065547484629,0,0,FALSE,"Obs",0.931393139313931
"18","3",0.875949084412684,"D1",0.866316996782133,0,0,FALSE,"Obs",0.875949084412684
"19","3",0.951603746806699,"D10",0.949461161464202,0,0,FALSE,"Obs",0.951603746806699
"20","3",0.950152983171851,"D9",0.941271727991689,0,0,FALSE,"Obs",0.950152983171851
