"","rbd","GPA_pos","grade_treat","type","grado","asistencia","mean_pred","ci_h","ci_l","se","outcome"
"1","10658","D1","Non-tested","Estimated",4,0.916666666666667,0.875459010634163,0.889608969447948,0.861969088737457,0.304677324168592,0.875459010634163
"2","10658","D1","Non-tested","Obs",4,0.916666666666667,0.875459010634163,0,0,0.304677324168592,0.916666666666667
"3","10658","D1","Tested","Estimated",4,1,0.927268278567086,0.935672203434409,0.915961984102233,0.252516226503142,0.927268278567086
"4","10658","D1","Tested","Obs",4,1,0.927268278567086,0,0,0.252516226503142,1
"5","10658","D2","Non-tested","Estimated",4,0.972222222222222,0.905778516196748,0.9181258167051,0.894054211599739,0.272110625569587,0.905778516196748
"6","10658","D2","Non-tested","Obs",4,0.972222222222222,0.905778516196748,0,0,0.272110625569587,0.972222222222222
"7","10658","D2","Tested","Estimated",4,0.9375,0.907018652494434,0.921081218015986,0.887412035134821,0.270289549971702,0.907018652494434
"8","10658","D2","Tested","Obs",4,0.9375,0.907018652494434,0,0,0.270289549971702,0.9375
"9","10658","D3D8","Non-tested","Estimated",4,0.94700332963374,0.921694669985236,0.926061103765623,0.917161849444519,0.255717188315286,0.921694669985236
"10","10658","D3D8","Non-tested","Obs",4,0.94700332963374,0.921694669985236,0,0,0.255717188315286,0.94700332963374
"11","10658","D3D8","Tested","Estimated",4,0.916666666666667,0.91601569110431,0.921291724337856,0.91078627814945,0.256515091447505,0.91601569110431
"12","10658","D3D8","Tested","Obs",4,0.916666666666667,0.91601569110431,0,0,0.256515091447505,0.916666666666667
"13","10658","D9","Non-tested","Estimated",4,0.941176470588235,0.947107225568201,0.955449532584468,0.937834901320044,0.217606118162174,0.947107225568201
"14","10658","D9","Non-tested","Obs",4,0.941176470588235,0.947107225568201,0,0,0.217606118162174,0.941176470588235
"15","10658","D9","Tested","Estimated",4,0.9375,0.956805742866896,0.962933948153212,0.948441110894471,0.19704432016359,0.956805742866896
"16","10658","D9","Tested","Obs",4,0.9375,0.956805742866896,0,0,0.19704432016359,0.9375
"17","10658","D10","Non-tested","Estimated",4,0.911764705882353,0.944918803665641,0.953429337190765,0.934204025646553,0.220198659281798,0.944918803665641
"18","10658","D10","Non-tested","Obs",4,0.911764705882353,0.944918803665641,0,0,0.220198659281798,0.911764705882353
"19","10658","D10","Tested","Estimated",4,1,0.919343684944083,0.932210795044797,0.904054146183993,0.254666237750752,0.919343684944083
"20","10658","D10","Tested","Obs",4,1,0.919343684944083,0,0,0.254666237750752,1
"21","25002","D1","Non-tested","Estimated",4,0.944444444444444,0.856878131741876,0.879401120684712,0.833153279258753,0.279278238205123,0.856878131741876
"22","25002","D1","Non-tested","Obs",4,0.944444444444444,0.856878131741876,0,0,0.279278238205123,0.944444444444444
"23","25002","D1","Tested","Estimated",4,0.571428571428571,0.843753685940735,0.87781074533772,0.812871641069723,0.351351958039417,0.843753685940735
"24","25002","D1","Tested","Obs",4,0.571428571428571,0.843753685940735,0,0,0.351351958039417,0.571428571428571
"25","25002","D2","Non-tested","Estimated",4,0.73015873015873,0.85201546232942,0.879998757640893,0.824917661361016,0.311436828081684,0.85201546232942
"26","25002","D2","Non-tested","Obs",4,0.73015873015873,0.85201546232942,0,0,0.311436828081684,0.73015873015873
"27","25002","D2","Tested","Estimated",4,1,0.809850154997753,0.853578901347416,0.770677809861676,0.372529336009799,0.809850154997753
"28","25002","D2","Tested","Obs",4,1,0.809850154997753,0,0,0.372529336009799,1
"29","25002","D3D8","Non-tested","Estimated",4,0.936538461538462,0.939254104618132,0.946004952089912,0.931970284891928,0.223081079606226,0.939254104618132
"30","25002","D3D8","Non-tested","Obs",4,0.936538461538462,0.939254104618132,0,0,0.223081079606226,0.936538461538462
"31","25002","D3D8","Tested","Estimated",4,0.926829268292683,0.881113681929723,0.89329763544267,0.87130858400715,0.293974296310951,0.881113681929723
"32","25002","D3D8","Tested","Obs",4,0.926829268292683,0.881113681929723,0,0,0.293974296310951,0.926829268292683
"33","25002","D9","Non-tested","Estimated",4,1,0.926847736284008,0.945448572352183,0.903905191118385,0.234016062738505,0.926847736284008
"34","25002","D9","Non-tested","Obs",4,1,0.926847736284008,0,0,0.234016062738505,1
"35","25002","D9","Tested","Estimated",4,1,0.925845508636603,0.946256610618242,0.904186483497035,0.254554558105416,0.925845508636603
"36","25002","D9","Tested","Obs",4,1,0.925845508636603,0,0,0.254554558105416,1
"37","25002","D10","Non-tested","Estimated",4,1,0.959377403890253,0.973014421615281,0.946277811060447,0.188669516815622,0.959377403890253
"38","25002","D10","Non-tested","Obs",4,1,0.959377403890253,0,0,0.188669516815622,1
"39","25002","D10","Tested","Estimated",4,1,0.912351356125479,0.932581027441285,0.889374843607673,0.263880070628153,0.912351356125479
"40","25002","D10","Tested","Obs",4,1,0.912351356125479,0,0,0.263880070628153,1
